Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
0,3 BHK Flat for Sale in Wakad,"Spacious 3 BHK apartment located in Wakad, Pune. Unfurnished with modern amenities.",1.1 Cr,10977952.0,"Wakad, Pune",1127 sqft,Under Construction,Basement out of 15,New Property,Unfurnished,South,,Silver Woods,3.0,1.0,,,1481 sqft,,1947 sqft
1,5 BHK Flat for Sale in Sohna Road,"Spacious 5 BHK apartment located in Sohna Road, Gurgaon. Unfurnished with modern amenities.",2.89 Cr,28877970.0,"Sohna Road, Gurgaon",1802 sqft,Ready to Move,10 out of 10,New Property,Unfurnished,South,Pool,Orchid Heights,5.0,2.0,1.0,Freehold,,,
2,3 BHK Flat for Sale in Viman Nagar,"Spacious 3 BHK apartment located in Viman Nagar, Pune. Semi-Furnished with modern amenities.",1.09 Cr,10908779.0,"Viman Nagar, Pune",977 sqft,Under Construction,7 out of 25,Resale,Semi-Furnished,West,,Maple Gardens,2.0,1.0,0.0,Co-operative Society,1091 sqft,,
3,5 BHK Flat for Sale in Maninagar,"Spacious 5 BHK apartment located in Maninagar, Ahmedabad. Unfurnished with modern amenities.",1.07 Cr,,"Maninagar, Ahmedabad",2337 sqft,Under Construction,6 out of 6,Resale,Unfurnished,,,Royal Enclave,4.0,2.0,2.0,Co-operative Society,3026 sqft,,
4,3 BHK Flat for Sale in Hadapsar,"Spacious 3 BHK apartment located in Hadapsar, Pune. Semi-Furnished with modern amenities.",94.47 Lac,,"Hadapsar, Pune",1229 sqft,Ready to Move,Ground out of 25,Resale,Semi-Furnished,East,Main Road,Maple Residency,4.0,0.0,0.0,,1650 sqft,39x28,
5,3 BHK Flat for Sale in Kondapur,"Spacious 3 BHK apartment located in Kondapur, Hyderabad. Unfurnished with modern amenities.",91.02 Lac,9101610.0,"Kondapur, Hyderabad",1073 sqft,Ready to Move,3 out of 20,New Property,Unfurnished,,,Silver Enclave,2.0,1.0,,Leasehold,1241 sqft,,
6,3 BHK Flat for Sale in Velachery,"Spacious 3 BHK apartment located in Velachery, Chennai. Furnished with modern amenities.",95.82 Lac,9581857.0,"Velachery, Chennai",,Ready to Move,14 out of 15,Resale,Furnished,West,,Golden Gardens,2.0,3.0,0.0,Co-operative Society,1655 sqft,,
7,2 BHK Flat for Sale in New Town,"Spacious 2 BHK apartment located in New Town, Kolkata. Semi-Furnished with modern amenities.",55.79 Lac,5579183.0,"New Town, Kolkata",707 sqft,Under Construction,Basement out of 6,Resale,Semi-Furnished,,,Silver County,3.0,1.0,2.0,Power Of Attorney,917 sqft,,1126 sqft
8,2 BHK Flat for Sale in New Town,"Spacious 2 BHK apartment located in New Town, Kolkata. Semi-Furnished with modern amenities.",45.51 Lac,4550873.0,"New Town, Kolkata",639 sqft,Under Construction,Ground out of 8,New Property,Semi-Furnished,South,Pool,Sunrise Residency,,3.0,1.0,,,,
9,3 BHK Flat for Sale in Rajarhat,"Spacious 3 BHK apartment located in Rajarhat, Kolkata. Unfurnished with modern amenities.",58.48 Lac,,"Rajarhat, Kolkata",1203 sqft,Ready to Move,22 out of 25,New Property,Unfurnished,,,,2.0,3.0,1.0,,1414 sqft,29x36,1897 sqft
